Library,Throughput (MB/s),RSE (%),Window Duration,File Size (Bytes),Window Samples (k),Variance,Latency / Run (ns),Position
rtc_digit_count,4814.16,1.70611,425.238ms,1500,49152,1.26331e+06,297.151,Win
lemire_digit_count,4406.1,2.46406,824.355ms,1500,21702,1.38938e+06,324.721,Loss
