# digit-counting-uint32_t Stage Results
#CPU: AMD EPYC 7763 64-Core Processor-AVX2
#OS: Windows-10.0.26100
#Compiler: MSVC-19.51.36256.0

# digit-counting-uint32_t Stage Config

ClearCpuCachesBeforeIterations,MeasuredIterationCount,MaxIterationCount,ConvergenceThreshold (%),MaxTimeInS,RseThreshold (%),MaxK,MinK
true,60,1200,1,5,2.5,100000,30

Library,Wins,Ties,Losses
rtc_digit_count,17,0,0
lemire_digit_count,0,0,17
