Library,Throughput (MB/s),RSE (%),Window Duration,File Size (Bytes),Window Samples (k),Variance,Latency / Run (ns),Cycles/Byte,Position
rtc_digit_count,12812.6,0.721922,29.9686ms,1750,192,169.706,130.229,0.133344,Win
lemire_digit_count,9058.87,5.75061,3.34836ms,1748,30,3361.24,184.067,0.201819,Loss
