Library,Throughput (MB/s),RSE (%),Window Duration,File Size (Bytes),Window Samples (k),Variance,Latency / Run (ns),Cycles/Byte,Position
rtc_digit_count,9905.63,0.947623,0.1797ms,9971,30,2482.76,960,0.239801,Win
lemire_digit_count,6085.76,0.99301,0.6913ms,9976,30,7229.89,1563.33,0.397358,Loss
