Library,Throughput (MB/s),RSE (%),Window Duration,File Size (Bytes),Window Samples (k),Variance,Latency / Run (ns),Cycles/Byte,Position
rtc_digit_count,8049.63,1.00265,23.319ms,1045447,30,4.62675e+07,123859,0.37747,Win
lemire_digit_count,7347.35,0.277416,24.311ms,1045447,30,4.25136e+06,135697,0.413495,Loss
