# digit-counting-uint32_t Stage Results
#CPU: AMD EPYC 9V45 96-Core Processor-AVX512
#OS: Linux-6.17.0-1022-azure
#Compiler: Clang-24.0.0

# digit-counting-uint32_t Stage Config

ClearCpuCachesBeforeIterations,MeasuredIterationCount,MaxIterationCount,ConvergenceThreshold (%),MaxTimeInS,RseThreshold (%),MaxK,MinK
true,60,1200,5,20,10,100000,30

Library,Wins,Ties,Losses
lemire_digit_count,12,8,0
rtc_digit_count,0,8,12
